Elemento,Prefab,Hijo,Pivote_local,Euler_inicial,Rango
Fuego,Casa_Pequena,Puerta_HingeY,"[-0.84, 0.12, -3.22]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Casa_Pequena,Contraventana_HingeY,"[-2.49, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Casa_Pequena,Contraventana_HingeY_2,"[-1.41, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Casa_Pequena,Contraventana_HingeY_3,"[1.41, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Casa_Pequena,Contraventana_HingeY_4,"[2.49, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Casa_Jugador,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Casa_Jugador,Contraventana_HingeY,"[-2.99, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Casa_Jugador,Contraventana_HingeY_2,"[-1.9100000000000001, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Casa_Jugador,Contraventana_HingeY_3,"[1.9100000000000001, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Casa_Jugador,Contraventana_HingeY_4,"[2.99, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Casa_Dos_Estancias,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Casa_Dos_Estancias,Contraventana_HingeY,"[-3.49, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Casa_Dos_Estancias,Contraventana_HingeY_2,"[-2.41, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Casa_Dos_Estancias,Contraventana_HingeY_3,"[2.41, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Casa_Dos_Estancias,Contraventana_HingeY_4,"[3.49, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Posada,Puerta_HingeY,"[-0.84, 0.12, -4.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Posada,Contraventana_HingeY,"[-3.49, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Posada,Contraventana_HingeY_2,"[-2.41, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
