Elemento,Categoria,Prefab,Ruta,Triangulos,Hijos,Hijos_animables
Fuego,Edificios,Casa_Pequena,Biomes/Fuego/Prefabs/Edificios/Casa_Pequena.prefab,5472,10,5
Fuego,Edificios,Casa_Jugador,Biomes/Fuego/Prefabs/Edificios/Casa_Jugador.prefab,5472,10,5
Fuego,Edificios,Casa_Dos_Estancias,Biomes/Fuego/Prefabs/Edificios/Casa_Dos_Estancias.prefab,5604,10,5
Fuego,Edificios,Posada,Biomes/Fuego/Prefabs/Edificios/Posada.prefab,5604,10,5
Fuego,Edificios,Tienda_Armas,Biomes/Fuego/Prefabs/Edificios/Tienda_Armas.prefab,5340,10,5
Fuego,Edificios,Tienda_Armaduras,Biomes/Fuego/Prefabs/Edificios/Tienda_Armaduras.prefab,5340,10,5
Fuego,Edificios,Tienda_Artefactos,Biomes/Fuego/Prefabs/Edificios/Tienda_Artefactos.prefab,5340,10,5
Fuego,Edificios,Herreria,Biomes/Fuego/Prefabs/Edificios/Herreria.prefab,5384,10,5
Fuego,Edificios,Archivo,Biomes/Fuego/Prefabs/Edificios/Archivo.prefab,5516,10,5
Fuego,Edificios,Santuario,Biomes/Fuego/Prefabs/Edificios/Santuario.prefab,5596,10,5
Fuego,Edificios,Mercado_Negro,Biomes/Fuego/Prefabs/Edificios/Mercado_Negro.prefab,5340,10,5
Fuego,Edificios,Museo,Biomes/Fuego/Prefabs/Edificios/Museo.prefab,5516,10,5
Fuego,Modulos,Suelo_2m,Biomes/Fuego/Prefabs/Modulos/Suelo_2m.prefab,44,1,0
Fuego,Modulos,Suelo_4m,Biomes/Fuego/Prefabs/Modulos/Suelo_4m.prefab,44,1,0
Fuego,Modulos,Calle_Recta,Biomes/Fuego/Prefabs/Modulos/Calle_Recta.prefab,396,1,0
Fuego,Modulos,Cruce,Biomes/Fuego/Prefabs/Modulos/Cruce.prefab,396,1,0
Fuego,Modulos,Calle_Curva,Biomes/Fuego/Prefabs/Modulos/Calle_Curva.prefab,528,1,0
Fuego,Modulos,Bordillo,Biomes/Fuego/Prefabs/Modulos/Bordillo.prefab,44,1,0
Fuego,Modulos,Muro_2m,Biomes/Fuego/Prefabs/Modulos/Muro_2m.prefab,44,1,0
Fuego,Modulos,Muro_Puerta,Biomes/Fuego/Prefabs/Modulos/Muro_Puerta.prefab,132,1,0
Fuego,Modulos,Muro_Ventana,Biomes/Fuego/Prefabs/Modulos/Muro_Ventana.prefab,176,1,0
Fuego,Modulos,Pilar,Biomes/Fuego/Prefabs/Modulos/Pilar.prefab,88,1,0
Fuego,Modulos,Escalones,Biomes/Fuego/Prefabs/Modulos/Escalones.prefab,132,1,0
Fuego,Modulos,Rampa,Biomes/Fuego/Prefabs/Modulos/Rampa.prefab,44,1,0
Fuego,Modulos,Pasarela,Biomes/Fuego/Prefabs/Modulos/Pasarela.prefab,704,1,0
Fuego,Modulos,Muralla,Biomes/Fuego/Prefabs/Modulos/Muralla.prefab,88,1,0
Fuego,Modulos,Porton,Biomes/Fuego/Prefabs/Modulos/Porton.prefab,1100,3,2
Fuego,Modulos,Escalera_Interior,Biomes/Fuego/Prefabs/Modulos/Escalera_Interior.prefab,792,1,0
Fuego,Modulos,Tejado_Modular,Biomes/Fuego/Prefabs/Modulos/Tejado_Modular.prefab,44,1,0
